id,category,sku,name,description,priceUSD,priceARS,iva,watts,brand,phase,voltage,capacityKwh,maxDischargeW,roofType,panelsPerKit
7001,panel,JKM550M72HL4V30,Panel Solar 550W Jinko Mono Perc Tiger Pro,"Monocristalino 550Wp. 144 celdas, cable 1200mm, marco 30mm.",118,247480,0.105,550,Jinko,,,,,,
7010,bateria,UF5000,Batería Pylontech US5000 LiFePO4 5.12kWh,"Fosfato de Ion-Litio 51.2V 5120Wh. 6000 ciclos DOD 95%.",1149,2638770,0.21,,Pylontech,,,5.12,5000,,
7020,inversor-offgrid,SPF3000TLHVM-48,Growatt SPF3000 Off-Grid 3kW,"Off-Grid 1 MPPT 3000VA 48V/220V.",389,893370,0.21,3000,Growatt,mono,220,,,,
7021,inversor-offgrid,SPF3500ES,Growatt SPF3500ES Off-Grid 3.5kW,"Off-Grid 1 MPPT 3500VA 48V/220V. Hasta 6 en paralelo.",490,1125324,0.21,3500,Growatt,mono,220,,,,
7022,inversor-offgrid,SPF5000ES,Growatt SPF5000ES Off-Grid 5kW,"Off-Grid 1 MPPT 5000VA 48V/220V. Hasta 6 en paralelo.",488,1120731,0.21,5000,Growatt,mono,220,,,,
7023,inversor-offgrid,SPF6000ES Plus,Growatt SPF6000ES Plus Off-Grid 6kW,"Off-Grid 2 MPPT 6000VA 48V/220V. Hasta 6 en paralelo.",526,1208001,0.21,6000,Growatt,mono,220,,,,
7030,inversor-hibrido,SUN-3.6K-SG03LP1-EU,Deye SUN-3.6K Híbrido Mono 3.6kW,"Híbrido monofásico 3.6kW IP65. 2 MPPT. Baterías 48V.",1250,2870725,0.21,3600,Deye,mono,220,,,,
7031,inversor-hibrido,SUN-5K-SG05LP1-EU-AM2-P,Deye SUN-5K Híbrido Mono 5kW,"Híbrido monofásico 5kW IP65. 2 MPPT. Baterías 48V.",1252,2875318,0.21,5000,Deye,mono,220,,,,
7032,inversor-hibrido,SUN-6K-SG05LP1-EU-AM2-P,Deye SUN-6K Híbrido Mono 6kW,"Híbrido monofásico 6kW IP65. 2 MPPT. Baterías 48V.",1252,2875318,0.21,6000,Deye,mono,220,,,,
7033,inversor-hibrido,SUN-8K-SG05LP1-EU-SM2-P,Deye SUN-8K Híbrido Mono 8kW,"Híbrido monofásico 8kW IP65. 2 MPPT. Baterías 48V.",1532,3518361,0.21,8000,Deye,mono,220,,,,
7040,inversor-hibrido,SUN-8K-SG05LP3-EU-SM2,Deye SUN-8K Híbrido Tri 8kW,"Híbrido trifásico 8kW IP65. 2 MPPT. Baterías 48V.",2164,4969799,0.21,8000,Deye,tri,380,,,,
7041,inversor-hibrido,SUN-10K-SG05LP3-EU-SM2,Deye SUN-10K Híbrido Tri 10kW,"Híbrido trifásico 10kW IP65. 2 MPPT. Baterías 48V.",2309,5302803,0.21,10000,Deye,tri,380,,,,
7042,inversor-hibrido,SUN-12K-SG05LP3-EU-SM2,Deye SUN-12K Híbrido Tri 12kW,"Híbrido trifásico 12kW IP65. 2 MPPT. Baterías 48V.",2428,5576096,0.21,12000,Deye,tri,380,,,,
7043,inversor-hibrido,SUN-15K-SG05LP3-EU-SM2,Deye SUN-15K Híbrido Tri 15kW,"Híbrido trifásico 15kW IP65. 2 MPPT. Baterías 48V.",2694,6186987,0.21,15000,Deye,tri,380,,,,
7044,inversor-hibrido,SUN-20K-SG05LP3-EU-SM2,Deye SUN-20K Híbrido Tri 20kW,"Híbrido trifásico 20kW IP65. 2 MPPT. Baterías 48V.",3658,8400890,0.21,20000,Deye,tri,380,,,,
7050,inversor,MIC3000TL-X2,Growatt MIC3000 On-Grid Mono 3kW,"On-Grid monofásico 1 MPPT 3000W.",371,852031,0.21,3000,Growatt,mono,220,,,,
7051,inversor,MIN3600TL-X2,Growatt MIN3600 On-Grid Mono 3.6kW,"On-Grid monofásico 2 MPPT 3600W.",582,1336610,0.21,3600,Growatt,mono,220,,,,
7052,inversor,MIN4200TL-X2,Growatt MIN4200 On-Grid Mono 4.2kW,"On-Grid monofásico 2 MPPT 4200W.",623,1430769,0.21,4200,Growatt,mono,220,,,,
7053,inversor,MIN5000TL-X2,Growatt MIN5000 On-Grid Mono 5kW,"On-Grid monofásico 2 MPPT 5000W.",630,1446845,0.21,5000,Growatt,mono,220,,,,
7054,inversor,MIN6000TL-X2,Growatt MIN6000 On-Grid Mono 6kW,"On-Grid monofásico 2 MPPT 6000W.",599,1375651,0.21,6000,Growatt,mono,220,,,,
7060,inversor,MOD3000TL3-X,Growatt MOD3000 On-Grid Tri 3kW,"On-Grid trifásico 2 MPPT 3000W. Con AFCI.",838,1924534,0.21,3000,Growatt,tri,380,,,,
7061,inversor,MOD4000TL3-X,Growatt MOD4000 On-Grid Tri 4kW,"On-Grid trifásico 2 MPPT 4000W. Con AFCI.",877,2014101,0.21,4000,Growatt,tri,380,,,,
7062,inversor,MOD5000TL3-X,Growatt MOD5000 On-Grid Tri 5kW,"On-Grid trifásico 2 MPPT 5000W. Con AFCI.",969,2225386,0.21,5000,Growatt,tri,380,,,,
7063,inversor,MOD6000TL3-X,Growatt MOD6000 On-Grid Tri 6kW,"On-Grid trifásico 2 MPPT 6000W. Con AFCI.",585,1343499,0.21,6000,Growatt,tri,380,,,,
7064,inversor,MOD10000TL3-X,Growatt MOD10000 On-Grid Tri 10kW,"On-Grid trifásico 2 MPPT 10000W. Con AFCI.",622,1428473,0.21,10000,Growatt,tri,380,,,,
7065,inversor,MOD15KTL3-X,Growatt MOD15K On-Grid Tri 15kW,"On-Grid trifásico 2 MPPT 15000W. Con AFCI.",888,2039363,0.21,15000,Growatt,tri,380,,,,
7066,inversor,MID15KTL3-X,Growatt MID15K On-Grid Tri 15kW,"On-Grid trifásico 2 MPPT 15000W. Con AFCI.",956,2195530,0.21,15000,Growatt,tri,380,,,,
7067,inversor,MID20KTL3-X2,Growatt MID20K On-Grid Tri 20kW,"On-Grid trifásico 2 MPPT 20000W. Con AFCI.",1649,3787060,0.21,20000,Growatt,tri,380,,,,
7068,inversor,MID25KTL3-X2,Growatt MID25K On-Grid Tri 25kW,"On-Grid trifásico 2 MPPT 25000W. Con AFCI.",1949,4476034,0.21,25000,Growatt,tri,380,,,,
7069,inversor,MID30KTL3-X2,Growatt MID30K On-Grid Tri 30kW,"On-Grid trifásico 2 MPPT 30000W. Con AFCI.",1101,2528535,0.21,30000,Growatt,tri,380,,,,
7070,inversor,MID40KTL3-X2,Growatt MID40K On-Grid Tri 40kW,"On-Grid trifásico 4 MPPT 40000W. Con AFCI.",2225,5109891,0.21,40000,Growatt,tri,380,,,,
7071,inversor,MID50KTL3-X2,Growatt MID50K On-Grid Tri 50kW,"On-Grid trifásico 4 MPPT 50000W. Con AFCI.",2672,6136462,0.21,50000,Growatt,tri,380,,,,
7072,inversor,MAX50KTL3 LV,Growatt MAX50K On-Grid Tri 50kW,"On-Grid trifásico 6 MPPT 50000W. Con AFCI.",2734,6278850,0.21,50000,Growatt,tri,380,,,,
